,old_formation,EE,change_to
56,2dε,absent,2dε
57,A,absent,A
14,A',absent,A'
58,Aachen,absent,Aachen
59,Aalter,absent,Aalter
60,Abad,absent,Abad
61,Abadeh,absent,Abadeh
7246,Abadia,present,Abadia
62,Abazinka,absent,Abazinka
9698,Abbotsford Mudstone,present,Abbotsford Mudstone
63,Abderaz,absent,Abderaz
8224,Abeih,present,Abeih
9975,Abel Head,present,Abel Head
9079,Abels Bay,present,Abels Bay
64,Abenaki,absent,Abenaki
65,Abercrombie,absent,Abercrombie
66,Aberdeen Lake,absent,Aberdeen Lake
7145,Aberdouz,present,Aberdouz
7013,Aberhan Pliensbach,present,Aberhan Pliensbach
7012,Aberhan Sinemur,present,Aberhan Sinemur
7014,Aberhan Toarc,present,Aberhan Toarc
7811,Abisinia,present,Abisinia
8016,Ablakoskövölgy Limestone,present,Ablakoskövölgy Limestone
8303,Abrakurrie Limestone,present,Abrakurrie Limestone
7712,Abu Durba,present,Abu Durba
67,Abu Hashish,absent,Abu Hashish
68,Abu Imama,absent,Abu Imama
9171,Abu Qada,present,Abu Qada
69,Abu Qada/Raha,absent,Abu Qada/Raha
9438,Abu Roash,present,Abu Roash
19,Abu Tartur,absent,Abu Tartur
70,Abundancia,absent,Abundancia
71,Acadoparadoxides oelandicus Shales,absent,Acadoparadoxides oelandicus Shales
9968,Acanthopyge,present,Acanthopyge
72,Acanthopyge Limestone,absent,Acanthopyge Limestone
10274,Achdorf,present,Achdorf
73,Achen,absent,Achen
74,Acheshbok,absent,Acheshbok
75,Achladia,absent,Achladia
6569,Acoite,present,Acoite
76,Acre Limestone,absent,Acre Limestone
7918,Acredale,present,Acredale
6672,Acton Scott,present,Acton Scott
77,Adaev,absent,Adaev
7474,Adam Mudstone,present,Adam Mudstone
78,Adams Bjerg,absent,Adams Bjerg
8603,Adatsag,present,Adatsag
79,Adila,absent,Adila
7563,Adjuntas,present,Adjuntas
9221,Admiral,present,Admiral
9560,Adnet,present,Adnet
80,Adorf,absent,Adorf
81,Adorf-Bänderschiefer,absent,Adorf-Bänderschiefer
6764,Advance,present,Advance
8606,Adz'va,present,Adz'va
82,Adze,absent,Adze
8507,Aertashi,present,Aertashi
83,Aftenstjernesø,absent,Aftenstjernesø
6478,Aftenstjernesø Fjord,present,Aftenstjernesø Fjord
20,AG 4,absent,AG 4
84,AG4,absent,AG 4
9056,Agabyt,present,Agabyt
10116,Agardfjellet,present,Agardfjellet
9625,Agardhfjellet,present,Agardhfjellet
7125,Agatdal,present,Agatdal
9283,Ager,present,Ager
8713,Agglomeratic Slate,present,Agglomeratic Slate
85,Aghia Varvara,absent,Aghia Varvara
10038,Agidyl,present,Agidyl
86,Agnevskaya,absent,Agnevskaya
8197,Agoudim,present,Agoudim Marls
87,Agoudim Marls,present,Agoudim Marls
7354,Agrio,present,Agrio
7988,Agua Clara,present,Agua Clara
88,Agua de Lucho,absent,Agua de Lucho
10143,Agua de Madeiros,present,Agua de Madeiros
9567,Água de Madeiros,present,Agua de Madeiros
89,Agua Nueva,absent,Agua Nueva
90,Agua Salada,absent,Agua Salda
91,Agua Salda,absent,Agua Salda
8844,Aguada Limestone,present,Aguada Limestone
92,Aguathuna,absent,Aguathuna
7950,Agueguexquite,present,Agueguexquite
93,Agui-Ula,absent,Agui-Ula
94,Aguion,absent,Aguion
95,Aguión,absent,Aguion
7019,Aguja,present,Aguja
96,Agwu Shale,absent,Agwu Shale
97,Ahbach,absent,Ahbach
98,Aheimer,absent,Aheimer
8067,Ahlen,present,Ahlen
9319,Ahmadi,present,Ahmadi
99,Ahrdorf,absent,Ahrdorf
100,Aiduna,absent,Aiduna
9326,Aifat,present,Aifat
101,Aigu,absent,Aigu
9327,Aimau,present,Aimau
102,Aïn  Khira,absent,Aïn  Khira
103,Ain ed Dick Limestone,absent,Ain ed Dick Limestone
104,Aïn el Guettar,absent,Aïn el Guettar
105,Ain Targa,absent,Ain Targa
106,Aïn-Al-Aliliga,absent,Aïn-Al-Aliliga
107,Aïn-as-Seffah,absent,Aïn-as-Seffah
8311,Ainoura,present,Ainoura
108,Aisemont,absent,Aisemont
109,Aït Athmane,absent,Aït Athmane
10135,Ait Ouarhitane,present,Ait Ouarhitane
110,Aitamir,absent,Aitamir
8416,Aitym,present,Aitym
111,Aix-en-Provence,absent,Aix-en-Provence
6452,Ajax Limestone,present,Ajax Limestone
112,Ajiri,absent,Ajiri
8313,Akabira,present,Akabira
113,Akachan,absent,Akachan
9112,Akasaka,present,Akasaka
114,Akasaka Limestone,present,Akasaka
8940,Akasawa Silt,present,Akasaka
115,Akatievo,absent,Akatievo
116,Akaura,absent,Akaura
9530,Akavassky,present,Akavassky
117,Akbaital,absent,Akbaital
118,Akbasai,absent,Akbasai
119,Akbasayskaya,absent,Akbasayskaya
120,Akbulaksai,absent,Akbulaksai
121,Akerchi,absent,Akerchi
7462,Aketo,present,Aketo
10058,Akeyo,present,Akeyo
9123,Akhura,present,Akhura
122,Akiyoshi,absent,Akiyoshi
123,Akkuyu,absent,Akkuyu
124,Akpatok,absent,Akpatok
9299,Akrabou,present,Akrabou
125,Akrech,absent,Akrech
126,Akron,absent,Akron
127,Akrotiri,absent,Akrotiri
10224,Aksala,present,Aksala
9744,Aksucay,present,Aksucay
8992,Aktas,present,Aktas
128,Aktasty,absent,Aktasty
129,Akzhar,absent,Akzhar
130,Al Bad,absent,Al Bad
10069,Al Baniyah,present,Al Baniyah
8480,Al Faidiyah,present,Al Faidiyah
131,Al Hassanat,absent,Al Hassanat
7983,Al Jil,present,Al Jil
8482,Al Jir,present,Al Jir
8489,Al Khums,present,Al Khums
6785,Al Rose,present,Al Rose
132,Al-Hisa Phosphorite,absent,Al-Hisa Phosphorite
133,Alachua,absent,Alachua
134,Alacran Mountain,absent,Alacran Mountain
9793,Alajuela,present,Alajuela
135,Alam,absent,Alam
136,Alan Mountain Limestone,absent,Alan Mountain Limestone
7971,Alapah,present,Alapah
137,Alapah Limestone,present,Alapah Limestone
138,Alaro Calcarenite,absent,Alaro Calcarenite
8875,Alazán,present,Alazán
139,Alba,absent,Alba
140,Albanov,absent,Albanov
9566,Albian,present,Albian
141,Alcântara,absent,Alcântara
6985,Alcobaca,present,Alcobaca
7054,Alcobaça,present,Alcobaca
142,Alcolea,absent,Alcolea
143,Alconera,absent,Alconera
144,Alcsutdoboz Limestone,absent,Alcsutdoboz Limestone
8597,Aldabra Limestone,present,Aldabra Limestone
145,Aldebaran,absent,Aldebaran
8269,Aleksandrovskaya,present,Aleksandrovskaya
146,Aleksin,absent,Aleksin
147,Aleman,absent,Aleman
148,Aleqatsiaq Fjord,absent,Aleqatsiaq Fjord
149,Alexander Bay,absent,Alexander Bay
7475,Alexander Mudstone,present,Alexander Mudstone
150,Alexandra,absent,Alexandra
8499,Alexandria,present,Alexandria
151,Alexo,absent,Alexo
152,Alfred Shale,absent,Alfred Shale
153,Algan,absent,Algan
154,Algodoes,absent,Algodoes
155,Algodões,absent,Algodoes
7779,Alhajuela,present,Alhajuela
8946,Ali Bashi,present,Ali Bashi
8515,Alifian Limestone,present,Alifian Limestone
156,Alikagarskaya,absent,Alikagarskaya
6858,Alikper,present,Alikper
6853,Alisitos,present,Alisitos
9228,Allandale,present,Allandale
8679,Allaru,present,Allaru Mudstone
157,Allaru Mudstone,present,Allaru Mudstone
8098,Allegheny,present,Allegheny
158,Allen Bay,absent,Allen Bay
159,Allgäu,absent,Allgäu
160,Allt Ddu,present,Allt Ddu
161,Allt Ddu Mudstone,present,Allt Ddu
6519,Allt-Ddu Mudstones,present,Allt Ddu
162,Allt-Tair-Ffynnon,absent,Allt-Tair-Ffynnon
163,Almaly,absent,Almaly
164,Almejas,absent,Almejas
9479,Almonacid de la Cuba,present,Almonacid de la Cuba
7235,Almstrom Creek,present,Almstrom Creek
165,Alos de Balaguer,absent,Alos de Balaguer
166,Alòs de Balaguer,absent,Alos de Balaguer
167,Alpena,absent,Alpena
9383,Alsea,present,Alsea
9522,Alston,present,Alston
168,Altamira,absent,Altamira
169,Altamira Shale,absent,Altamira
6804,Altamont,present,Altamont limestone
170,Altamont limestone,present,Altamont limestone
171,Altamont Limestone,present,Altamont limestone
172,Alternancia de margas y calizas de Turmiel,absent,Alternancia de margas y calizas de Turmiel
173,Alternata Limestone,absent,Alternata Limestone
174,Alticola,absent,Alticola Limestone
175,Alticola Limestone,absent,Alticola Limestone
176,Altmühltal,absent,Altmühltal
6801,Alto del Cóndor,present,Alto del Cóndor
177,Altuda,absent,Altuda
178,Alty-Agach,absent,Alty-Agach
7675,Aluginskaya,present,Aluginskaya
179,Alum,absent,Alum
180,Alum Rock Beds,absent,Alum
9906,Alum Shale,present,Alum
